k,bytes,time
1,16384,3.4917
1,16384,3.4542
1,16384,3.2458
1,16384,3.1458
1,16384,3.4917
1,16384,3.2458
1,16384,3.825
1,16384,3.5542
1,16384,3.2375
1,16384,3.9208
1,16384,3.4542
1,16384,3.6417
1,16384,3.4583
1,16384,3.0542
1,16384,3.3667
1,16384,3.3458
1,16384,3.5125
1,16384,3.45
1,16384,3.575
1,16384,3.3417
1,16384,3.2375
1,16384,3.2375
1,16384,3.4417
1,16384,3.2583
1,16384,3.9416
1,16384,3.4542
1,16384,3.1583
1,16384,3.1417
1,16384,3.35
1,16384,3.1375
1,16384,3.5792
1,16384,3.375
1,16384,3.2333
1,16384,3.2417
1,16384,3.2333
1,16384,3.3625
1,16384,3.475
1,16384,3.9375
1,16384,3.1542
1,16384,3.3958
1,16384,3.2458
1,16384,3.4667
1,16384,3.4625
1,16384,3.575
1,16384,3.15
1,16384,3.5583
1,16384,3.4542
1,16384,3.1292
1,16384,3.1292
1,16384,3.25
8,16384,3.1458
8,16384,3.1208
8,16384,3.3542
8,16384,3.65
8,16384,3.1583
8,16384,3.0125
8,16384,3.0375
8,16384,3.5833
8,16384,3.0167
8,16384,3.1333
8,16384,3.2167
8,16384,3.0417
8,16384,3.0167
8,16384,3.0333
8,16384,3.2583
8,16384,3.1417
8,16384,2.7208
8,16384,3.2042
8,16384,3.0083
8,16384,3.0375
8,16384,3.2083
8,16384,3.0083
8,16384,2.6417
8,16384,2.7125
8,16384,3.2583
8,16384,3.0083
8,16384,3.0292
8,16384,3.225
8,16384,3.1083
8,16384,3.0125
8,16384,3.0208
8,16384,2.6417
8,16384,3.0333
8,16384,3.0417
8,16384,3.125
8,16384,3.1125
8,16384,3.0458
8,16384,3.1667
8,16384,3.1167
8,16384,3.1042
8,16384,3.0083
8,16384,3.1542
8,16384,3.0167
8,16384,2.6125
8,16384,2.6375
8,16384,2.7125
8,16384,3.1167
8,16384,3.1333
8,16384,3.15
8,16384,3.0708
1,32768,4.5708
1,32768,4.5
1,32768,5.125
1,32768,4.9791
1,32768,4.7041
1,32768,4.4708
1,32768,4.8208
1,32768,4.9125
1,32768,5.7583
1,32768,4.8916
1,32768,4.7125
1,32768,4.4958
1,32768,4.7791
1,32768,4.8166
1,32768,4.9083
1,32768,4.9125
1,32768,4.5875
1,32768,4.6583
1,32768,4.9458
1,32768,4.6958
1,32768,4.6875
1,32768,4.8041
1,32768,5.2708
1,32768,4.6166
1,32768,4.9041
1,32768,5.2708
1,32768,4.85
1,32768,4.5916
1,32768,4.7916
1,32768,4.7166
1,32768,4.7958
1,32768,5.8791
1,32768,4.5791
1,32768,4.975
1,32768,4.5791
1,32768,4.7916
1,32768,4.8083
1,32768,4.8
1,32768,4.5791
1,32768,4.7833
1,32768,6.2124
1,32768,4.7791
1,32768,5.1625
1,32768,4.6
1,32768,4.6125
1,32768,4.7375
1,32768,4.8083
1,32768,5.9125
1,32768,4.8416
8,32768,4.2791
8,32768,4.1583
8,32768,4.45
8,32768,4.975
8,32768,4.2791
8,32768,4.1875
8,32768,4.25
8,32768,4.4708
8,32768,4.6791
8,32768,4.3333
8,32768,5.0583
8,32768,4.8125
8,32768,4.8
8,32768,5.4375
8,32768,4.2875
8,32768,4.3208
8,32768,4.5833
8,32768,4.2958
8,32768,4.4625
8,32768,4.3125
8,32768,4.3583
8,32768,4.5
8,32768,4.425
8,32768,4.1583
8,32768,4.2916
8,32768,4.4625
8,32768,4.3166
8,32768,4.3666
8,32768,4.3791
8,32768,4.6708
8,32768,5.6416
8,32768,4.2416
8,32768,5.2125
8,32768,4.375
8,32768,5.4541
8,32768,4.7958
8,32768,4.8583
8,32768,4.7416
8,32768,4.4208
8,32768,4.625
8,32768,4.325
8,32768,4.4083
8,32768,4.4791
8,32768,4.3166
8,32768,4.2375
8,32768,5.4291
8,32768,5.3375
8,32768,4.5875
8,32768,4.4125
8,32768,4.9708
1,65536,7.0999
1,65536,8.4999
1,65536,7.9749
1,65536,7.2249
1,65536,6.9833
1,65536,7.4249
1,65536,7.1791
1,65536,7.9083
1,65536,7.1041
1,65536,7.4166
1,65536,8.5457
1,65536,7.3916
1,65536,7.1666
1,65536,6.9874
1,65536,7.7666
1,65536,8.6082
1,65536,6.9458
1,65536,7.6416
1,65536,7.0791
1,65536,7.1458
